英国 球队	退出 国际	足联
廷布	是	不丹 王国 的 首都 和 最大 城市
英国	得到	当地 阿拉伯 人 和 亚述 人 的 支持
Charles - Édouard Jeanneret	缺乏	正式 的 建筑 师 培训
原始 月球	开始	失去 挥發 性 物质
技术	使用	SSD 作 为 缓冲 优化 磁盘 表现
查谟 和 克什米尔 邦 政府	表示	武装 分子 现在 正 在 减少
巴黎 市	是	吉普赛 爵士 乐 的 精神 家园
Magnus Carlsen)	的 获胜	2013 年候 选人 锦标 赛
印度 联盟	成	共和
附属 机构	建议	欧 盟
Guru Nanak	是	旁遮普 Khatri 印度 教徒
达美 航空 公司	通常 被 称 为 达美	暂停 所有 飞往 欧洲 大陆 的 航班 30 天
勋爵	拜伦	在 比萨
蔡 英 文	支持	LGBT 权益
印度	开采	钻石
世界 银行	赞助 了 一 个 项 目来 遏制	空气 污染
从 冬天 的 巴黎	开往	阿姆斯特丹
香港	名 列	在 《 世界 競 争力 年鑑
一 个 FIFA 世界 杯 锦标 赛 奖 杯	被 称	FIFA
印度	拒绝 了 狄克逊 计划 声称 好战 分子 是	自 巴基斯坦 管理 的 阿扎德克什米尔 和 阿富汗 的 伊斯兰 恐怖 组织
未来 纽约 大 都 会队 总 经理 Brodie Van Wagenen	Armstrong	的 遗体 从
Guru Gobind Singh	任职	在 耶路撒冷 的 会幕 和 圣殿
林丹	已跌	至 286
Aurobindo Ghose	在	下来 的 两 年
安道尔	仍然	法兰克 人 的 一 部分
路易斯安那 法	成 为	老挝 的 行政 语言
Bidya Devi	Bhandari 是	从 加德满 都 选出 的 - 2
Virat Kohli	敲击	两 个 世纪
Aurobindo Ghose	参	了 四 重 目标
巴黎 伯爵	参加	计划 中 的 凯普莱特夫 人舞 会
Facebook	抗议	印度 农民 或 反对 巴布亚 新 几内亚 政府
维多利亚 瀑布	从 未 见过	欧洲
唾液	起润 滑作 用 的	食物
该片	上映	1995 年 11 月 22
班加罗尔 的 一些 专业 机构	是	班加罗尔
赤道 几内亚	以 合法化 作 为 回应	政党
约翰亚当斯	同意 参加	危机
É variste Galois	被	拘留
大坂直 美	不敌	四 号 种子
欧麦尔	访问	叙利亚
爱德华詹纳	接种	疫苗
托马斯潘恩	继续	致力 于 “ 理性 时代
李 小龙	帮助 改变 了	美国 电影 中 呈现 亚洲 人 的 方式
Max Born	不得	提交 一 篇 论文
沙特阿拉伯	提到	托勒密
虫胶	仍然	发粘
苏联	支持	非国 大
毛 里求斯 本岛	成	世界 上 第五 个 开始 使用 邮票 的 国家
邦	被 认为	是 地球 上 最 肥沃 的 地区
印度	出	自 中 印 战争 第60 届 空降 野战 救护 部队
木星	形成	的 距离 大约 为
