भारतीय क्रिकेट टीम के	बनाने का लक्ष्य रखा गया था	364 रन
पुणे	है	नए उपनगर
गौतम बुद्ध	थे	29 वर्ष के
एडोल्फ़ हिटलर	समाप्त करने के लिए जनता के सामने रखा	ने वर्साई संधि को
पृथ्वी	जा रही थी	रसातल को
संयुक्त राज्य अमेरिका	अग्रणी है	वैज्ञानिक अनुसंधान और तकनीकी नवाचारों में
विराट कोहली	बनाए	ने 97 और 103 रन
रंग दे बसंती	प्रशंसित	ही में समीक्षकों द्वारा
नीरो	मरवा डाला	नीरो पत्नी आक्टेविया को
अमरूद	जाना जाता है	कई औषधीय गुणों के लिए
निर्मला सीतारामन्	बनाया गया	श्री नरेंद्र मोदी की सरकार में
पुणे	है	पुणे के भगिनी शहर
लिन डान	हैं	चीन से एक पेशेवर बैडमिंटन खिलाड़ी
विक्टोरिया जलप्रपात	है	दक्षिणी अफ्रीका के सबसे पसंदीदा पर्यटक स्थलों में से एक
गुल अब्बास	खिलता है	साधारण रूप से चार बजे के लगभग में
नेल्सन रोलीह्लला मंडेला	दूर करने के लिए कदम रखा	भेदभाव को
कार्ल मार्क्स	लिखे	हीगेल के नैतिक दर्शन पर अनेक लेख
स्काइपकास्ट्स	था	100 लोगों तक के पब्लिक कॉन्फ्रेंस कॉलों की मेजबानी करता
भगवान शिव	पूजनीय	हैं
विराट कोहली	खेले	आईसीसी चैंपियंस ट्रॉफी में
कोपनहेगन	स्थापना	स्वेन फोर्कबीयर्ड प्रथम द्वारा की गई थी
जयप्रकाश नारायण गाँधी	का जन्म हुआ	19 नवंबर में
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	मिले	मुसोलिनी से
स्वामी विवेकानन्द	भी सीखा।	ने संस्कृत ग्रंथों और बंगाली साहित्य को
पश्चिमी पाकिस्तान	आ गईं	जुल्फिकार अली भुट्टो के बहकावे में
एसिटिक अम्ल	बनाता है	कार्बन डाइ ऑक्साइड और मिथेन या जल और इथेनॉल
महात्मा गाँधी	पार कर	सेतु
क्षीर समुद्र	थे	एक तरफ असुर
विराट कोहली	आ रहे हैं	रॉयल चैलेंजर्स बैंगलोर के लिए खेलते
अनिल कपूर	शादी की	सुनीता कपूर से
माइक्रोसॉफ्ट	चाहती	सभी डिवाइसेस तथा सॉफ्टवेयर्स के लिए एक Ecosystem बनाना
कश्मीर विवाद	था	युध्द का प्रमुख कारण
विराट कोहली	बहुत प्रभावित हैं	ऑटोबायोग्राफी ऑफ़ अ योगी'किताब से
मोहम्मद हामिद अंसारी	बढाया	ने कांग्रेस की नीति को आगे
शेडोंग गुफा	है	दुनिया में सबसे बड़ी गुफा
