希腊语	来源	自 希腊语
新加坡 共和 国	增加	23% 的 面积
父亲	为	矿业 官員
今 伊斯坦布尔 的	成 为	世界 第五 受 欢迎 的 旅游 目 的 地
裂缝	形成	熔岩
马赛 城市	闻名	因 同名 足球 俱乐部
卡達 政府	举行	开国 典礼
乳房	主要 由	腺体 、 导管 、 脂肪 组织 和 结缔 组织
乙酸	应立	即以 足量 清水 冲洗 暴露 部位
林丹	持续	良好 的 表现
树皮	是	树幹 的 表層
太斯米	奉	至 仁 至 慈 真主 之 名
1 億 多 名 军	参 与	第二 次 世界 大战
意大利	丧失	对 北 非 的 控制
希腊	投入	到 了 烧炭 党 人 的 运动
穆斯林	相信	绕克尔白 是 礼拜 的 地点
朱 塞佩 · 加里 波 底	回到	秘鲁
不少 宗教 团體	营运	学校
意大利	感到 忧虑	对 德国 与 意大利 的 扩张
先知	带有	真主 讯息
中亞	被 视为 是	苏非 主义 的 中心
Adobe 公司	宣布 停止 开 发个	Flash Player
法兰西 的	占领	英国
林丹	击败	李 宗伟
安卡拉	任命	为 伊斯坦堡 市长
只有 1.5% ( 2007 年 为 38.3万 人	来到	土耳其
倾向 法西斯 主义 的 斯洛伐克	已 被	德国 与 意大利
食物	使得	食物 更 容易 吞咽
瘟疫	被 控制	住
梵蒂冈	要求	一 座 加里波 第骑马 的 塑像 的 方向 进行 更改
邓	访问	苏联
香港	版進 入	本 地化 公众 討論 的 阶段
P	指	保险 费 收入
唾液	雅称	为 “ 金津 玉液
全 世界	对 抗	全 球暖 化
伊拉克 共和	通称	伊拉克
许多 高新 技术 和 通讯 公司	迁往	今天 凤凰 城
今天 的 浦那	是	英 治 印度 最大 的 兵营
意大利	嘗试	入侵 希腊
今天 凤凰 城	举行	1881 年 3 月 3
今天 凤凰 城	也是	碗赛 的 主场
Mars Atmosphere and Volatile Evolution Mission	简 称	MAVEN
Windows 10	面向	使用 触幕 用户 的 界面移 至 平板 模式
纳粹 德国	簽署	三 国 同盟 条约
鄧 紹昌	先后 娶	过 四 任 妻子
一些 市镇	通称	芬兰
劳伦斯 · 埃里森	创办	公司
2008 年 巴林 王国	通称	巴林
意大利	已 成	轴心 国 的 二 流 角色
数学	不使 用	科學 方法
佛教	沉寂	约 700 年
意大利	設置	犹太 人 强 迫劳 动营
最高 法院	系终	审 法院
英國	退出	关税 同盟
纳粹 德国	试 图	匆忙 强 化佈 署 的 ( Panther- Wotan line
詹姆斯 · 瓦特	是	苏格兰 著名 的 发明 家 和 机械 工程 师
先知 穆罕默德	开始 著手	清除克 麦加 的 克尔白 里头 的 360 个 偶像
英国	必须 提出	新 方案
硝酸	是	一 种 强酸, 是 三 大 强酸 其一
现代 加拿大	打算	将 那 一 片 地区 纳入 国土 范围
父亲	供 养	子女
锡克教	严守	蓄鬍 、 纏 头巾 等 教规 的 信徒
石油	送上	家门
穆斯林	来到	新 的 地区
俄罗斯	宣布	俄罗斯 研发 的 Sputnik V 疫苗 有 效性 达到 92%
弗里德里希 · 恩格斯	是	德國
地球	随	着 地球 逐渐 干燥
英國	独立 发展	於 「 普通 法
詹姆斯 · 瓦特	还 从 未 亲 眼见	一 台 可以 运转 的 蒸汽 机
紫茉莉	是	一 种 管理 粗放, 观赏 价值 较高 的 花卉 植物
吉哈德	是 指	奮鬥 、 努力, 战斗 」 的 意思
林丹	成	中国 国家 队 的 主力 征战
英国	批准	使用 辉 瑞 疫苗
英国	表示	抗议
19 岁 海因里希 · 赫尔曼 · 罗伯特 · 科赫	进入 格丁根 大学 学习	科学
政府	介入 增加	財政 支出
香港	誉为	华人 娱乐 码 头
穆斯林	可以 合法 食用	的 食物
人数	接觸	病毒
萧伯纳	抵达	第一 站 香港
臭氧	能 迅速 弥漫	到 整个 灭菌 空间
詹姆斯 · 瓦特	没有 做够	要求 的 7 年 徒工
香港	要 完全 按照	资本 主义 制度 办事
美国	举 办立	国 200週 年 活动
林丹	参加	5 项 世界 羽联 超级 系列 赛 赛事
世界	侵 犯	人 权
该片	停止 制作	立即
马克斯 · 玻恩	移居	英国
德國	击 败	南 美洲 国家
英国	占领	毛 里求斯 本岛
印度	作 为	联 合国 的 维和 部队
国家	坐	在 矿车
土耳其	證明	土耳其 的 独立 性
树	是	一 个 常用 的 词语
群众	大力 接种	疫苗
卡達 政府	并无	任何 税收
香港	成	全球 楼价 最难 负担 的 城市
中東	是	世界 主要 石油 产地
数学	不 可 想象	在 自然 科學
一 个 新闻 頻道	播出	美国
该国	奉行	积 极 吸納 外来 移民 的 政策
城市	是	阿尔巴尼亞 共和 国
香港	名	华人 娱乐 码 头
今天 的 浦那	占领	英国
黑天	是 来	自 真主 的 先知 Category
的, 製片 人 与 部分 製作 团 队	曾 被 逐出	美国
伊玛目	诵 读	清真 言
这	也是	一 个 悠久 的 应用
马来西亞 国会	同意 将	新加坡 共和 国
安卡拉	是	第三 严重 的 城市
现代 加拿大	参加	兴建 国际 空间 站 的 计划
人体	传送	用 于 细胞 信号
公司	专门 制造	蒸汽 机
今天 的 浦那	是	马拉地 文化 的 缩影
冬天 的 巴黎	就是	罗 马市 Category
詹姆斯 · 瓦特	发明	蒸汽 机 的 重要 性 是 难 以 估量
这	令	感染 程度 较低
阿克巴 大帝 的	采用	严格 的 措施, 以 确保 军队 质量 在 较高 水平
Windows 10	将 有	新 版本 问世
疫苗	旨 在 提供	后 天 免疫 系统
干预	进行	政府
225 个 德国 公司	设有 据点	今天 的 浦那
软件	将 恢复	检查 和 安装 更新
印度	举行	第一 次 大选
这	是	演员 对 电影 负责 的 标志
今天 的 浦那	有	一些 军事 研究 组织
政府	使 自由 企业 制度 有效 运作 奉行	低 税率 和 简單 税制
奥地利 作曲 家 海顿	也 納到	伦敦
有些	不 相信	中国
硼	有	数种 同素 异 形体
美国 第一 位 总统	入驻	白宮
政府	鼓励 发展	旅游 业
微软 公司	跳过	Windows 9
印度	开始	参与 每 一 届 的 夏季 奥林匹克 运动 会 赛事
英国	吞并	斐济 共和
毛 里求斯 本岛	基	于 地缘 政治 的 考虑
政府	希望	能 吸收 外资
世界 上 第五 个 国家	使用	邮票
安卡拉	可以 靠近	西线 战场
李 宗伟	击败	马来西亚
研究	来	自 加利福尼亞 理工 学院
林丹	拿下	首局 的 胜利
计划	回到	印度
林丹	未能 取得	佳绩
象棋	是	印度
马	到 达	西安
伊斯兰教	也称	zh-hans :回教
女性	具有	影响 力
格拉斯哥 大学	有	一 台 纽科 门 蒸汽 机
詹姆斯 · 瓦特	会	灰心 丧气
美国	无償 捐贈	台 湾 250 万 剂 美国 生产 的 莫德納 疫苗
