కనెక్టికట్ రాష్ట్రం	కేంద్రంగా ఉంది	తుపాకీ తయారీకి
క్రికెట్	చెందింది	అన్ని సరిహద్దుల్లో ప్రసిద్ధి
థామస్ పైన్	త్వరగా	ఫ్రెంచ్ జాతీయ సమావేశానికి
కాంగ్రెస్ అధ్యక్షురాలు సోనియా గాంధీ	శుభాకాంక్షలు	భారతదేశానికి
నాజీ జర్మనీ	దాడి చేసింది	కీవన్ రస్
చైనా స్వచ్ఛంద దళాలు	పట్టుకున్నాయి	మంచూరియాను
జాన్ ఆడమ్స్	వ్యక్తిగతంగా విమర్శించలేదు	1765 స్టాంప్ యాక్ట్‌పై రాష్ట్రపతిని
బౌద్ధమతం	ప్రాతినిధ్యం	ప్రపంచ జనాభాలో 7% నుండి 8%
స్వామి వివేకానంద	నేర్చుకున్నారు	గ్రంథాలు, బెంగాలీ సాహిత్యం
బహ్రెయిన్‌లో	ఉంది	ఒక ప్రధాన అంతర్జాతీయ విమానాశ్రయం
మార్సెయిల్	నిర్వహించాడు	1998 ప్రపంచ కప్ మరియు యూరో 2016లో మ్యాచ్‌లను
జార్జ్ బెర్నార్డ్ షా	ఏడు చిన్న నాటకాలు	ఇరవయ్యవ
యునైటెడ్ స్టేట్స్ ప్రభుత్వం	స్వాధీనం	శాన్ డియాగో నగరం మరియు కౌంటీని
ఆహారం	అందించబడింది	మౌంట్ కానోపస్ లేదా కానోపస్ హిల్‌కు
భారతదేశం	తిరిగి ఇవ్వనుంది	90,000 మంది యుద్ధ ఖైదీలను
యూనియన్ ఆఫ్ ఇండియా	పొందింది	స్వాతంత్ర్యం
లక్సెంబర్గ్	ఆధారిత	స్కైప్ టెక్నాలజీస్ SA టెక్స్ట్ చాట్ క్లయింట్
లిన్	డాన్ విజయవంతంగా	లిన్ డాన్ (జననం 14 అక్టోబర్ 1983) టైటిల్‌ను
యెల్లందు మున్సిపాలిటీ	ఉంది	సగటున 205 మీటర్ల ఎత్తులో
ఓ ఉమర్	ఏర్పాటు	ప్రతి రాత్రి బాసర మరియు కూఫాలో విందు
