रोम	के योग्य है	शहर
Google	बनाया	ने Android 5.1.1
कालीकट में ब्रिटिश अधिकारियों ने	रखा	सुभाष चंद्र बोस को
लक्ज़मबर्ग	आधारित	स्काइप टेक्नोलॉजीज एसए संचार
डेमोक्रेट जो बिडेन	के विजेता हैं	2020 के राष्ट्रपति चुनाव
सिन्धु नदी	निकल	मानसरोवर के पास से
ब्रूस ली	पढ़ाते रहे	गोरे लोगों को
फ़िलाडेल्फ़िया	अनुभव किया है	ने युवा आयु प्रोफ़ाइल की ओर एक बड़े बदलाव का
विंडोज 10	जाना जाता है	को "विंडोज इनसाइडर प्रोग्राम" के रूप में
प्रथम विश्व युद्ध	छिड़ गया	1914 में
चार्ल्स - एडौर्ड जीनरेट	व्याख्यान देने के लिए	इटली में वास्तुकला पर
फिलीपीन एयरलाइंस	शुरू हुई	फिलीपीन एयर लाइन्स के रूप में फिर से
Oracle Systems Corporation	अपील करेगा	निर्णय और हर्जाने दोनों के विरुद्ध
जे एडगर हूवर	के निदेशक हैं	एफबीआई
पर्वतीय राष्ट्र भूटान की	बनी रही	लगातार शांति
पश्चिमी यूरोप	संचालन करता है	अल्बानिया में कई टेलीविजन और रेडियो स्टेशनों का
गुरु नानक	हैं	आध्यात्मिक सत्य से ऊपर
फेसबुक	के विरोध का	या पापुआ न्यू गिनी की सरकार के खिलाफ
फूलन देवी	पाने के लिए संघर्ष किया	ने एक फिल्म
2009	चाहते	प्रभावी सक्रियता के बारे में सीखना
सिंगापुर	नहीं दी	साबाह और सारावाक को ऋण की पूरी सीमा
कोपेनहेगन शहर	है	एफसी कोपेनहेगन का घर
ऑस्ट्रेलिया	लागू किया	ने गेहूं के आटे के फोर्टिफिकेशन को
स्प्रिंगफील्ड में स्मारकों	शामिल हैं	में अब्राहम लिंकन
शिक्षा	है	प्रांतीय अधिकार क्षेत्र के भीतर
विराट कोहली	बनाए	ने 108 रन
थिम्पू	है	राष्ट्रीय रेफरल अस्पताल
माउंट फ़ूजी का शिखर	है	फ़ूजी-हाकोन का हिस्सा
सम्मोहन	आधारित	चिड़चिड़ा आंत्र सिंड्रोम और रजोनिवृत्ति के प्रबंधन के लिए
विश्वनाथन आनंद	इस प्रकार	विश्व शतरंज चैंपियनशिप २००८,२०१०,२०१२,२०१३ तक लगतार विजय प्राप्त करते गए
ली कोर्बुज़िए	आए	यूनान व तुर्की होने के
हवाई	कहा जाता है	को आर्कटुरस
सीटें	चुनी गईं	चुनाव
एडोब फ्लैश	होगा	चीन और दुनिया भर में
भारतीय राष्ट्रीय कांग्रेस को	प्राप्त	बहुमत या बहुलता
दक्षिण अफ्रीका	जीते	ने तीनों मैच
जमुई	है	देश के बाकी हिस्सों से सड़क मार्ग से अच्छी तरह जुड़ा हुआ
मैसूर	जूझ रहा है	जल संकट से
एडॉल्फ हिटलर	सामना करना पड़ा	को नाज़ी पार्टी के भीतर कुछ विरोध का
बहरीन	शामिल हो गया	यमन में सऊदी के नेतृत्व वाले सैन्य गठबंधन में
आर्कटूरस	है	जनसंख्या II का तारा
लक्समबर्ग-आधारित स्काइप टेक्नोलॉजीज एसए	आ गया है	अक्षमता के लिए उपयोगकर्ताओं की कुछ आलोचनाओं के अधीन
स्वामी विवेकानंद	ने उत्थान का संकल्प लिया	भारत के
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	था	के पास 15 सेकंड से कम ईंधन
इंदिरा गांधी	टिप्पणी की	ने भारतीय संघ पर
कोयला	था	जहाजों और इंजनों को चलाने के लिए
बेलारूस	स्थित है	दो ecoregions के भीतर
भारत	ड्रा	स्तर
ध्यानी बुद्ध वैरोचन	है	केंद्र में
ए आर रहमान	का संगीतकार है	हू वॉन्ट्स टू बी ए मिलिनेयर
स्काईफॉल	थी	आईमैक्स पर रिलीज होनी
पंजाब	गए थे	में इंडो-आर्यन लोगों द्वारा कई प्रवासन किए
क्वालकॉम	उल्लंघन किया था	ने कम से कम एक ब्रॉडकॉम पेटेंट का
मलावी गणराज्य	है	दक्षिणपूर्व अफ्रीका में स्थित एक लैंडलॉक देश
टॉलेमी	जानता था	टॉलेमिक साम्राज्य के केवल एक चौथाई हिस्से के बारे में
मेनिनजाइटिस	का विश्व मानचित्र है	मौतों
श्री	चंद से	गुरु नानक
लीग ऑफ नेशंस	मजबूर करने का प्रयास किया	ने राष्ट्रपति बरहम सलीह इराक को
मिमोसा पुडिका	भी पेश किया गया है।	को युगांडा, घाना, नाइजीरिया, सेशेल्स, मॉरीशस और पूर्वी एशिया में
शंघाई	थी	केवल तीन नगरपालिकाओं में से एक
पोपिया सबीना	हो सकता है	के पास नीरो
मार्सिले	बन गया	प्रमुख ग्रीक "पोलिस"
ज्वालामुखी गतिविधि	बृहस्पति पर	ग्रह
रिकार्डो फ्रेंच - डेविस गेब्रियल बोरिक	बन गया	चिली के विश्वविद्यालय में दूसरा सबसे अधिक मतदान करने वाला डिप्टी
गुरु तेग बहादुर	जाना जाता था	को गुरु गोबिंद सिंह के नाम से
शब्द	है	उपयोग के लिए कुछ वस्तुओं के उद्घाटन का वर्णन करना
प्रथम महिला नैन्सी रीगन	नियुक्ति करेंगी	पहली महिला अंतर्राष्ट्रीय न्यायालय की
मोहम्मद हामिद अंसारी	कहने से इनकार कर दिया	ने ज्यादा कुछ
नवाजुद्दीन सिद्दीकी	का जन्म 19 मई 1974	को छोटे भाई के रूप में हुआ
ब्रिटेन	आक्रमण करने के लिए	क्रेते पर
विश्वनाथन आनंद	रहे हैं	निर्विवाद विजेता
फिलीपीन एयरलाइंस	की स्थापना हुई थी	1941 में
डेमोक्रेटिक रिपब्लिक ऑफ जॉर्जिया	है	में रूसी संघ
विराट कोहली	बनाए	ने 66 रन
अनिल कपूर	तैयार करेंगे	अमेरिकी टीवी की सफलता का भारतीय संस्करण
कॉन्स्टेंटिनोपल	बन गया	ग्रीक संस्कृति और ईसाई धर्म का केंद्र
श्रीनिवास रामानुजन	चर्चा की	ने अण्डाकार अभिन्न, हाइपरज्यामितीय श्रृंखला और श्रीनिवास रामानुजन पर
ब्रिटिश	आने के लिए	भारतीय नेताओं के साथ एक समझौते पर
रांची नगर निगम	स्थापना की है	ने नामकुम में एसटीपीआई - रांची शाखा की
आइजैक न्यूटन	वर्णित किया	ने आइजैक न्यूटन फर्स्ट लॉ ऑफ मोशन में
शहर को	था	सामने आत्मसमर्पण करना
जापान	था	पीपुल्स रिपब्लिक ऑफ चाइना के साथ युद्ध में
थॉमस पेन	का जन्म थॉमस पेन	शैली में हुआ था
पूर्वी एशिया	घाटा	को 63 अरब डॉलर का
फ़िनलैंड	आपूर्ति करता है	कच्चे माल की
ग्रेटा थनबर्ग	अपलोड किया	ने ट्विटर पर एक डॉक्यूमेंट
Oracle Systems Corporation	विकसित करने की योजना बना रहा है	Oracle Solaris को केवल बंद स्रोत के रूप में
इंटरग्लोब एविएशन लिमिटेड	सार्वजनिक हुआ	नवंबर 2015 में
फ़िजी	था	एक अंग्रेजी उपनिवेश
पोटेशियम ब्रोमाइड	इलाज के लिए	मिर्गी के
रॉबर्ट स्कोफिल्ड	वर्णन किया है	ने जोसेफ प्रिस्टले का
बीमा	दूर करता है	जोखिमों को
बहरीन	मान्यता प्राप्त है	को विश्व बैंक द्वारा उच्च आय वाली अर्थव्यवस्था के रूप में
बैंगलोर	पैदा की हैं	ने यातायात की भीड़ और अवसंरचनात्मक अप्रचलन से संबंधित कई समस्याएं
भारत	कहा	ने बायोको
मैक्स बोर्न	बपतिस्मा दिया गया था	को लूथरन के रूप में
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	नेतृत्व कर रहे थे	एक विशाल मोर्चे का
संयुक्त राज्य अमेरिका	प्रदान किया गया	को वास्तविक संयुक्त राष्ट्र का रूप
शब्द	कहते हैं	अज़ान
पाकिस्तान सरकार ने	सफलतापूर्वक नेतृत्व किया	पाकिस्तान को अलग-थलग करने के लिए एक कूटनीतिक अभियान का
फेसबुक	लक्ष्यीकरण	डेटा के साथ
पाकिस्तान	संचालन किया	ने आज़ाद कश्मीर को मजबूत पाकिस्तान-समर्थक निष्ठा और अपेक्षाकृत कम आबादी का
डेविड हिल्बर्ट	चुना	ने मैक्स बोर्न को
कोपेनहेगन शहर	होगा	कार्बन-तटस्थ
जूडी गारलैंड	है	संगीत में एक पात्र
प्रथम महिला नैन्सी रीगन	हुई	की सर्जरी
विराट कोहली	लगाने में सफल रहे	दो अर्धशतक
सिंगापुर	जाना जाता है	को "लायन सिटी" के रूप में
नादिन गोर्डिमर	देखा	ने सरकारी दमन
सोनी पिक्चर्स	जारी	इंटरनेट ब्रांड - सुरक्षा सेवा मार्कमॉनिटर द्वारा
अरबी	आता है	शब्द से
मानव लार	है	मौखिक द्रव का एक घटक
अंग्रेजों ने	सफलतापूर्वक चुनौती दी	1780 में साथी प्रमुख जाति उत्पीड़कों को
पुणे	काफी तरक्की हुई	पेशवा के काल मे
यूरोपीय संघ	है	सदस्य देशों का एक राजनीतिक और आर्थिक संघ
इंटरनेट	प्रदान	पत्रकारों के लिए स्वागत मुक्त स्थान
एडोल्फ़ हिटलर	हथिया ली	ने स्वाभिमानी जर्मन राष्ट्र सत्ता
लुई पाश्चर	सम्मानित किया गया	को 1,500 फ़्रैंक से
ईएफ ओटन	के प्रोफेसर हैं	इतिहास
फूलन देवी	कहा जाएगा	को बैंडिट क्वीन
